strategy,valid,profitable_pct,avg_return,median_return,avg_drawdown,avg_sharpe,avg_winrate,avg_pf
MACDStrategy,99,0.48484848484848486,0.02858292518896989,-0.0003503341257324962,0.2023928589972065,-0.4793635186185781,0.3405046142431638,1.0104132808007744
MomentumStrategy,99,0.36363636363636365,0.004147559122782186,-0.0170119592811758,0.23064826152356424,-0.11109690120330055,0.3072710104250901,0.8917495862070238
TrendStrategy,99,0.2727272727272727,-0.05739620322381613,-0.05712765486449285,0.20798759870991718,-0.45170557295793373,0.2910350757443072,0.7987971631504736
KDJStrategy,99,0.2222222222222222,-0.060485051332424405,-0.071579856199545,0.17322098001082065,-0.5429323448026957,0.3498627405925043,0.713307640884807
KDJExitWithSLTP,99,0.21212121212121213,-0.06351135121749019,-0.06045880309902657,0.14524421825132777,-0.5952441886652684,0.3476947631523627,0.7231234459001791
KDJCrossStrategy,99,0.1919191919191919,-0.08715294413199734,-0.08888018694057524,0.19898680774640487,-0.625248817061536,0.3766400797079551,0.74849060793318
KDJExitAtK50,99,0.16161616161616163,-0.10330369150944008,-0.11370433471133022,0.1951901686985103,-0.6158945421992305,0.4970819736858382,0.6733294291076729
KDJExitOverbought,99,0.1717171717171717,-0.10517634288115602,-0.11691339490951243,0.20181956770112247,-0.5968722272394289,0.49940190617943025,0.6648290415436389
MeanReversionStrategy,99,0.10101010101010101,-0.19687086159242992,-0.17747906613142508,0.3179820896472455,-0.639247339411137,0.540291831645224,0.6209830742392458
RSIStrategy,99,0.050505050505050504,-0.21612632359708364,-0.18212478904825372,0.31689781110155707,-0.7955707312873581,0.5325722255307033,0.5600899916335513
